8.1,Establish and maintain an audit log management process that defines the enterpriseâ€™s logging requirements. 
8.11,"Conduct reviews of audit logs to detect anomalies or abnormal events that could indicate a potential threat. Conduct reviews on a weekly, or more frequent, basis."
8.2,Collect Audit Logs
8.3,Ensure Adequate Audit Log Storage
8.5,Collect Detailed Audit Logs
8.9,Centralize Audit Logs
9.1,Ensure Use of Only Fully Supported Browsers and Email Clients
9.2,Use DNS Filtering Services
9.3,Maintain and Enforce Network-Based URL Filters
9.4,Restrict Unnecessary or Unauthorized Browser and Email Client Extensions
9.6,Block Unnecessary File Types
9.7,Deploy and Maintain Email Server Anti-Malware Protections
3.2,Establish and Maintain a Data Inventory
1.3,Utilize an Active Discovery Tool
1.5,Use a Passive Asset Discovery Tool
10.4,"Configure Automatic Anti-Malware 
Scanning of Removable Media"
10.6,Centrally Manage Anti-Malware Software
12.3,Securely Manage Network Infrastructure
12.4,"Establish and Maintain Architecture 
Diagram(s)"
13.10,Perform Application Layer Filtering
13.11,Tune Security Event Alerting Thresholds
13.6,Collect Network Traffic Flow Logs
14.7,Train Workforce
14.8,Train Workforce
15.2,"Establish and Maintain a Service Provider 
Management Policy"
15.3,Classify Service Providers
15.4,"Ensure Service Provider Contracts Include 
Security Requirements"
15.5,Assess Service Providers
15.6,Monitor Service Providers
16.10,"Apply Secure Design Principles in 
Application Architectures"
16.6,"Establish and Maintain a Severity Rating 
System and Process for Application 
Vulnerabilities"
16.7,"Use Standard Hardening Configuration 
Templates for Application Infrastructure"
17.8,Conduct Post-Incident Reviews
3.10,Encrypt Sensitive Data in Transit
3.13,Deploy a Data Loss Prevention Solution
3.14,Log Sensitive Data Access
3.5,Securely Dispose of Data
3.7,"Establish and Maintain a Data 
Classification Scheme"
3.8,Document Data Flows
3.9,Encrypt Data on Removable Media
4.10,Enforce Automatic Device Lockout on Portable End-User Devices
4.11,"Enforce Remote Wipe Capability on 
Portable End-User Devices"
4.12,"Separate Enterprise Workspaces on Mobile 
End-User Devices"
4.3,"Configure Automatic Session Locking on 
Enterprise Assets"
5.6,Centralize Account Management
6.6,"Establish and Maintain an Inventory of 
Authentication and Authorization Systems"
6.7,Centralize Access Contro
8.10,Retain Audit Logs
8.12,Collect Service Provider Logs
8.4,Standardize Time Synchronization
8.6,Collect DNS Query Audit Logs
8.7,Collect URL Request Audit Logs
8.8,Collect Command-Line Audit Logs
9.5,Implement DMARC
